Risk,Return
0.22,0.36614716082287047
0.23,0.4349620543085034
0.24,0.5006646178561837
0.25,0.554500300189561
0.26,0.6047749395710109
0.27,0.6715183240583815
0.28,0.7177686525273085
0.29,0.7842462185172961
0.3,0.8332388736275723
0.31,0.8789562062912809
0.32,0.9142409137715929
0.33,0.9479117935707534
0.34,0.9746805588240616
0.35,0.9978779343168768
0.36,1.0177441382667454
0.37,1.0356183102735192
0.38,1.0526497863655562
0.39,1.0666516358236098
0.4,1.0803438846718376
0.41,1.0925309899823292
0.42,1.1041786699591356
0.43,1.1152677107276694
0.44,1.1262695374260447
0.45,1.1369500656905893
0.46,1.1472249136352681
0.47,1.1568911496992045
0.48,1.1660072064619431
0.49,1.1750425809850327
0.5,1.183531255046001
0.51,1.1916469860781496
0.52,1.1994717745730687
0.53,1.2070462196176581
0.54,1.2144790566749122
0.55,1.221772509814636
0.56,1.2288395688373113
0.57,1.235786530034519
0.58,1.2427345476965912
0.59,1.2494363615824
0.6,1.2559252183197793
0.61,1.2624566354296891
0.62,1.26877457171654
0.63,1.274893066941332
0.64,1.2808500182153957
0.65,1.2866538319380023
0.66,1.2923205876235377
0.67,1.2978429613780278
0.68,1.303259191678099
0.69,1.3086186029495026
0.7,1.3140760772701738
0.71,1.3195547333591917
0.72,1.3249034902356003
0.73,1.330532625063428
0.74,1.336094983520323
0.75,1.3414612502757746
0.76,1.346646187757671
0.77,1.3517059269564378
0.78,1.3566187708600235
0.79,1.361400266062865
0.8,1.3660908157950562
0.81,1.370664876796211
0.82,1.3751452683164398
0.83,1.379505987059089
0.84,1.3837578265467936
0.85,1.3879166106357819
0.86,1.392007288635059
0.87,1.3961617846622287
0.88,1.400247683387101
0.89,1.4044141691105387
0.9,1.40848179420445
0.91,1.4124537652029077
0.92,1.4163558712806288
0.93,1.420190088073187
0.94,1.423954701548207
0.95,1.4276357041945382
0.96,1.4314368359658414
0.97,1.4352655837137256
0.98,1.4390788346274774
0.99,1.4428033791050778
